date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:31:52	48699/48699	---M--	200	added ('OK')	image/png	etag:%22be3b-5c3a0e5509340%22	https://www.travocrm.com/media/tabs/1.png	C:/My%20Web%20Sitesh/hii/www.travocrm.com/media/tabs/1.png	(from https://www.travocrm.com/)
15:31:52	36670/36670	---M--	200	added ('OK')	image/png	etag:%228f3e-5c3a0d5573840%22	https://www.travocrm.com/media/tabs/2.png	C:/My%20Web%20Sitesh/hii/www.travocrm.com/media/tabs/2.png	(from https://www.travocrm.com/)
15:31:52	35515/35515	---M--	200	added ('OK')	image/png	etag:%228abb-5c3a0ae5bf8c0%22	https://www.travocrm.com/media/tabs/3.png	C:/My%20Web%20Sitesh/hii/www.travocrm.com/media/tabs/3.png	(from https://www.travocrm.com/)
15:31:52	18592/18592	---M--	200	added ('OK')	image/png	etag:%2248a0-5c32a094346c0%22	https://www.travocrm.com/media/feature/14.png	C:/My%20Web%20Sitesh/hii/www.travocrm.com/media/feature/14.png	(from https://www.travocrm.com/)
15:31:52	18661/18661	---M--	200	added ('OK')	image/png	etag:%2248e5-5c329a9005500%22	https://www.travocrm.com/media/feature/15.png	C:/My%20Web%20Sitesh/hii/www.travocrm.com/media/feature/15.png	(from https://www.travocrm.com/)
15:31:53	6667/6667	---M--	200	added ('OK')	image/png	etag:%221a0b-5c32a3ce16340%22	https://www.travocrm.com/media/feature/16.png	C:/My%20Web%20Sitesh/hii/www.travocrm.com/media/feature/16.png	(from https://www.travocrm.com/)
15:31:53	31289/31289	---M--	200	added ('OK')	image/png	etag:%227a39-5c329ccd2dd40%22	https://www.travocrm.com/media/feature/17.png	C:/My%20Web%20Sitesh/hii/www.travocrm.com/media/feature/17.png	(from https://www.travocrm.com/)
15:31:53	25747/25747	---M--	200	added ('OK')	image/png	etag:%226493-5c329d9efcc40%22	https://www.travocrm.com/media/feature/18.png	C:/My%20Web%20Sitesh/hii/www.travocrm.com/media/feature/18.png	(from https://www.travocrm.com/)
15:31:53	36003/36003	---M--	200	added ('OK')	image/png	etag:%228ca3-5c329e45e1600%22	https://www.travocrm.com/media/feature/19.png	C:/My%20Web%20Sitesh/hii/www.travocrm.com/media/feature/19.png	(from https://www.travocrm.com/)
15:31:54	5239/5239	---M--	200	added ('OK')	image/png	etag:%221477-58bbc10d41400%22	https://www.travocrm.com/media/background/circle11.png	C:/My%20Web%20Sitesh/hii/www.travocrm.com/media/background/circle11.png	(from https://www.travocrm.com/)
15:31:54	15392/15392	---M--	200	added ('OK')	image/png	etag:%223c20-5c33c8cc925c0%22	https://www.travocrm.com/media/feature/marketing2.png	C:/My%20Web%20Sitesh/hii/www.travocrm.com/media/feature/marketing2.png	(from https://www.travocrm.com/)
15:31:54	74/74	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2001%20Feb%202023%2010:01:54%20GMT	https://www.travocrm.com/media/background/marketing_bg.jpg	C:/My%20Web%20Sitesh/hii/www.travocrm.com/media/background/marketing_bg.jpg	(from https://www.travocrm.com/)
15:31:55	351/351	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2001%20Feb%202023%2010:01:55%20GMT	http://travocrm.com/profile/company_details_logo/16304732510.png	C:/My%20Web%20Sitesh/hii/travocrm.com/profile/company_details_logo/16304732510.2b.delayed	(from https://www.travocrm.com/)
